sub,harm1,harm2,harm3,fairness1,fairness2,fairness3,Ingroup1,Ingroup2,Ingroup3,Authority1,Authority2,Authority3,Purity1,Purity2,Purity3,sise,E,A_R,C,N_R,O,E_R,A,C_R,N,O_R,mood,subjwell,cogref.1,cogref.2,cogref.3,politics,Country,Weird,Execution
3749,6,4,6,6,6,6,5,5,5,4,6,4,6,3,3,4,5,6,7,5,4,7,6,2,6,5,2,7,0,0,0,4,China,0,legal
6014,6,6,6,6,NA,6,6,1,1,6,6,2,6,6,6,4,4,4,6,5,5,7,7,5,7,4,3,8,1,1,0,3,Spain,1,illegal
3465,5,6,6,6,6,6,5,4,4,1,4,5,4,6,3,4,7,2,6,6,6,2,6,5,4,1,3,7,1,1,0,2,USA,1,legal
3342,4,3,5,2,6,5,5,4,4,6,4,2,5,5,5,2,3,5,3,6,4,6,3,1,2,4,3,8,1,1,0,1,Turkey,0,illegal
6577,6,6,6,5,6,6,6,5,6,5,4,5,3,2,3,3,5,2,6,5,3,5,6,3,5,3,4,9,0,1,0,4,The Netherlands,1,illegal
6364,6,5,5,6,6,5,5,5,4,4,3,2,2,4,2,3,3,3,5,2,6,5,6,3,5,1,4,7,0,0,0,2,USA,1,legal
215,5,5,5,5,6,5,5,1,4,2,5,4,3,4,5,3,3,3,5,5,5,5,4,1,4,4,3,8,1,0,0,5,Sweden,1,illegal
1788,4,4,5,5,6,5,4,2,3,2,5,2,4,3,4,4,5,3,6,5,5,5,5,4,4,3,3,10,0,0,0,3,New Zealand,1,illegal
7008,6,6,6,6,6,6,6,5,6,4,5,5,5,5,5,2,1,5,6,6,3,4,5,6,3,5,3,6,0,0,0,5,The Netherlands,1,illegal
7262,6,6,6,4,4,5,4,4,5,3,3,5,4,5,4,5,6,4,6,6,5,3,6,4,4,2,3,9,0,0,0,5,India,0,legal
1422,6,6,5,5,6,6,5,3,5,2,6,6,5,6,4,1,5,3,5,3,5,5,5,3,4,2,3,4,1,0,0,1,USA,1,legal
1912,5,2,3,5,5,5,4,3,4,2,5,3,5,4,4,4,5,3,3,1,6,5,6,3,6,2,3,8,1,0,0,4,Mexico,0,illegal
1946,5,5,4,4,5,5,6,4,4,1,4,3,4,4,5,3,5,5,3,5,4,5,6,3,3,4,4,9,0,0,0,6,Mexico,0,illegal
4635,5,4,5,5,4,3,3,5,3,2,3,5,4,5,2,4,5,3,7,5,6,7,4,2,3,2,5,9,0,0,0,2,Serbia,0,NA
1800,4,5,6,5,4,4,3,3,5,1,3,3,6,5,4,3,5,3,6,2,5,4,5,2,3,2,4,8,0,0,0,3,Serbia,0,NA
3333,4,5,4,4,5,6,5,5,5,5,5,6,5,6,4,3,4,3,6,5,6,3,7,2,5,3,2,2,1,0,0,3,Turkey,0,illegal
2242,5,4,3,4,4,5,6,4,5,5,4,4,4,3,4,2,5,6,3,6,6,1,5,5,1,1,5,10,1,0,0,4,India,0,legal
3659,6,6,6,5,6,5,6,5,6,2,5,5,4,5,6,3,7,7,7,7,7,1,7,3,1,7,1,1,0,0,0,4,Canada,1,illegal
7244,5,4,5,4,4,4,3,3,3,2,3,3,3,2,5,2,5,5,6,5,5,5,6,1,4,3,3,9,0,0,0,6,USA,1,legal
5360,5,4,5,6,6,6,3,4,4,6,6,4,4,2,4,1,2,7,5,7,6,5,7,2,6,4,3,7,0,0,0,3,USA,1,legal
7167,2,1,3,3,3,3,1,1,3,1,2,1,1,3,2,5,5,1,7,1,7,2,6,1,7,2,2,10,1,0,0,5,Poland,1,illegal
2432,6,6,6,6,6,5,6,5,6,4,6,6,5,6,5,4,NA,1,7,6,6,7,7,1,7,1,2,2,0,0,0,4,"Hong Kong, China",0,illegal
3660,5,4,5,4,5,5,6,5,6,4,6,6,4,4,4,4,4,4,7,6,6,4,7,4,5,3,3,8,1,0,0,2,Turkey,0,illegal
1531,5,5,5,2,2,4,4,5,4,3,5,3,4,4,3,4,6,4,5,2,5,5,4,4,6,3,3,7,0,0,0,2,Turkey,0,illegal
176,2,4,2,5,2,4,5,3,5,4,5,5,2,5,2,5,7,3,7,2,6,2,7,4,6,2,2,8,0,0,0,3,Hungary,1,illegal
6836,5,4,6,4,5,3,2,3,2,3,6,3,2,3,4,3,5,3,6,1,7,5,5,3,7,5,3,7,1,1,0,2,USA,1,legal
5744,5,5,3,5,6,5,5,3,5,5,5,5,3,4,5,4,1,1,6,2,7,6,7,1,6,3,4,7,0,1,0,6,USA,1,legal
6692,5,5,6,6,4,5,5,5,6,5,6,4,3,5,5,5,7,6,7,6,7,6,7,1,7,2,3,8,0,0,0,3,USA,1,legal
5359,6,4,6,5,5,5,4,5,3,5,4,3,4,2,5,4,3,5,3,2,5,5,5,4,5,4,5,7,1,0,0,4,USA,1,legal
828,5,4,5,5,3,2,2,3,2,1,3,NA,2,4,2,3,3,5,4,3,5,6,6,3,7,5,3,7,1,0,0,3,China,0,legal
1467,4,3,1,2,2,4,4,2,6,3,2,3,4,3,4,3,6,2,5,4,5,2,6,2,3,2,3,7,0,0,0,4,Japan,0,legal
1910,5,5,6,5,6,5,5,4,4,1,4,3,2,4,4,4,6,6,5,3,5,6,6,5,6,6,3,7,1,0,0,2,USA,1,legal
3419,6,5,6,5,5,5,5,2,5,3,5,5,NA,NA,5,3,5,6,6,6,6,6,6,6,5,3,3,6,0,0,0,4,Canada,1,illegal
6040,5,5,5,5,6,4,4,4,1,1,3,2,5,6,6,3,3,5,6,4,6,5,6,4,2,3,3,6,0,0,0,3,USA,1,legal
5311,6,5,6,5,6,5,4,4,6,2,5,6,5,5,5,3,5,5,6,4,5,4,4,2,3,4,4,7,0,0,0,5,The Netherlands,1,illegal
4267,5,5,6,5,5,5,4,3,5,5,5,5,5,3,5,4,2,1,5,5,4,6,6,2,6,4,3,8,1,0,0,6,USA,1,legal
